protein	SNP	label	
http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs2219594	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs1046984	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs1799954	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs4987046	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs11571769	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs169547	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs2227943	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs4986858	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs4987048	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs2227944	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs11571746	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs11571707	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs4986859	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs144848	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs1799951	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs766173	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs4987117	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs1801426	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs4987047	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:P51587	http://lsrn.org/dbSNP:rs4986860	"Shared genetic susceptibility to breast cancer, brain tumors, and Fanconi anemia. [pubmed:14559878]"@en	

http://openlifedata.org/uniprot:Q9UKA4	http://lsrn.org/dbSNP:rs17063167	"Prediction of the coding sequences of unidentified human genes. X. The complete sequences of 100 new cDNA clones from brain which can code for large proteins in vitro. [pubmed:9734811]"@en	

http://openlifedata.org/uniprot:Q9UKA4	http://lsrn.org/dbSNP:rs2236364	"Prediction of the coding sequences of unidentified human genes. X. The complete sequences of 100 new cDNA clones from brain which can code for large proteins in vitro. [pubmed:9734811]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs6495228	"Molecular cloning and characterization of a human brain ryanodine receptor. [pubmed:9395096]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs6495228	"Primary structure and distribution of a novel ryanodine receptor/calcium release channel from rabbit brain. [pubmed:1330694]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs2304380	"Molecular cloning and characterization of a human brain ryanodine receptor. [pubmed:9395096]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs2304380	"Primary structure and distribution of a novel ryanodine receptor/calcium release channel from rabbit brain. [pubmed:1330694]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs4780144	"Molecular cloning and characterization of a human brain ryanodine receptor. [pubmed:9395096]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs4780144	"Primary structure and distribution of a novel ryanodine receptor/calcium release channel from rabbit brain. [pubmed:1330694]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs2077268	"Molecular cloning and characterization of a human brain ryanodine receptor. [pubmed:9395096]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs2077268	"Primary structure and distribution of a novel ryanodine receptor/calcium release channel from rabbit brain. [pubmed:1330694]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs10851894	"Molecular cloning and characterization of a human brain ryanodine receptor. [pubmed:9395096]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs10851894	"Primary structure and distribution of a novel ryanodine receptor/calcium release channel from rabbit brain. [pubmed:1330694]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs2229116	"Molecular cloning and characterization of a human brain ryanodine receptor. [pubmed:9395096]"@en	

http://openlifedata.org/uniprot:Q15413	http://lsrn.org/dbSNP:rs2229116	"Primary structure and distribution of a novel ryanodine receptor/calcium release channel from rabbit brain. [pubmed:1330694]"@en	

http://openlifedata.org/uniprot:Q92508	http://lsrn.org/dbSNP:rs2290901	"Prediction of the coding sequences of unidentified human genes. VI. The coding sequences of 80 new genes (KIAA0201-KIAA0280) deduced by analysis of cDNA clones from cell line KG-1 and brain. [pubmed:9039502]"@en	

http://openlifedata.org/uniprot:Q92508	http://lsrn.org/dbSNP:rs8051003	"Prediction of the coding sequences of unidentified human genes. VI. The coding sequences of 80 new genes (KIAA0201-KIAA0280) deduced by analysis of cDNA clones from cell line KG-1 and brain. [pubmed:9039502]"@en	

http://openlifedata.org/uniprot:Q92508	http://lsrn.org/dbSNP:rs1803382	"Prediction of the coding sequences of unidentified human genes. VI. The coding sequences of 80 new genes (KIAA0201-KIAA0280) deduced by analysis of cDNA clones from cell line KG-1 and brain. [pubmed:9039502]"@en	

http://openlifedata.org/uniprot:Q92508	http://lsrn.org/dbSNP:rs13338527	"Prediction of the coding sequences of unidentified human genes. VI. The coding sequences of 80 new genes (KIAA0201-KIAA0280) deduced by analysis of cDNA clones from cell line KG-1 and brain. [pubmed:9039502]"@en	

http://openlifedata.org/uniprot:Q15154	http://lsrn.org/dbSNP:rs2285302	"The DISC1 Ser704Cys substitution affects centrosomal localization of its binding partner PCM1 in glia in human brain. [pubmed:20360304]"@en	

http://openlifedata.org/uniprot:Q15154	http://lsrn.org/dbSNP:rs412750	"The DISC1 Ser704Cys substitution affects centrosomal localization of its binding partner PCM1 in glia in human brain. [pubmed:20360304]"@en	

http://openlifedata.org/uniprot:Q15154	http://lsrn.org/dbSNP:rs370429	"The DISC1 Ser704Cys substitution affects centrosomal localization of its binding partner PCM1 in glia in human brain. [pubmed:20360304]"@en	

http://openlifedata.org/uniprot:Q15154	http://lsrn.org/dbSNP:rs454755	"The DISC1 Ser704Cys substitution affects centrosomal localization of its binding partner PCM1 in glia in human brain. [pubmed:20360304]"@en	

http://openlifedata.org/uniprot:Q15154	http://lsrn.org/dbSNP:rs7009117	"The DISC1 Ser704Cys substitution affects centrosomal localization of its binding partner PCM1 in glia in human brain. [pubmed:20360304]"@en	

http://openlifedata.org/uniprot:Q15154	http://lsrn.org/dbSNP:rs17635381	"The DISC1 Ser704Cys substitution affects centrosomal localization of its binding partner PCM1 in glia in human brain. [pubmed:20360304]"@en	

http://openlifedata.org/uniprot:Q15154	http://lsrn.org/dbSNP:rs17514547	"The DISC1 Ser704Cys substitution affects centrosomal localization of its binding partner PCM1 in glia in human brain. [pubmed:20360304]"@en	

http://openlifedata.org/uniprot:Q15154	http://lsrn.org/dbSNP:rs208753	"The DISC1 Ser704Cys substitution affects centrosomal localization of its binding partner PCM1 in glia in human brain. [pubmed:20360304]"@en	

http://openlifedata.org/uniprot:O15078	http://lsrn.org/dbSNP:rs11104729	"Prediction of the coding sequences of unidentified human genes. VII. The complete sequences of 100 new cDNA clones from brain which can code for large proteins in vitro. [pubmed:9205841]"@en	

http://openlifedata.org/uniprot:O15078	http://lsrn.org/dbSNP:rs11104729	"Centrosomal-ciliary gene CEP290/NPHP6 mutations result in blindness with unexpected sparing of photoreceptors and visual brain: implications for therapy of Leber congenital amaurosis. [pubmed:17554762]"@en	

http://openlifedata.org/uniprot:O15078	http://lsrn.org/dbSNP:rs7307793	"Prediction of the coding sequences of unidentified human genes. VII. The complete sequences of 100 new cDNA clones from brain which can code for large proteins in vitro. [pubmed:9205841]"@en	

http://openlifedata.org/uniprot:O15078	http://lsrn.org/dbSNP:rs7307793	"Centrosomal-ciliary gene CEP290/NPHP6 mutations result in blindness with unexpected sparing of photoreceptors and visual brain: implications for therapy of Leber congenital amaurosis. [pubmed:17554762]"@en	

http://openlifedata.org/uniprot:Q9UPQ9	http://lsrn.org/dbSNP:rs17001767	"Prediction of the coding sequences of unidentified human genes. XIV. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:10470851]"@en	

http://openlifedata.org/uniprot:Q9UPQ9	http://lsrn.org/dbSNP:rs6001854	"Prediction of the coding sequences of unidentified human genes. XIV. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:10470851]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs17183814	"Localization of a human brain sodium channel gene (SCN2A) to chromosome 2. [pubmed:2571571]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs17183814	"Three brain sodium channel alpha-subunit genes are clustered on the proximal segment of mouse chromosome 2. [pubmed:1679748]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs17183814	"Existence of distinct sodium channel messenger RNAs in rat brain. [pubmed:3754035]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs17183814	"Direct amplification of a single dissected chromosomal segment by polymerase chain reaction: a human brain sodium channel gene is on chromosome 2q22-q23. [pubmed:1846440]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs17183814	"Primary structure, chromosomal localization, and functional expression of a voltage-gated sodium channel from human brain. [pubmed:1325650]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs17183814	"Type II brain sodium channel expression in non-neuronal cells: embryonic rat osteoblasts. [pubmed:8750864]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs17183814	"Differential expression of two sodium channel subtypes in human brain. [pubmed:1317301]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs2228988	"Localization of a human brain sodium channel gene (SCN2A) to chromosome 2. [pubmed:2571571]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs2228988	"Three brain sodium channel alpha-subunit genes are clustered on the proximal segment of mouse chromosome 2. [pubmed:1679748]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs2228988	"Existence of distinct sodium channel messenger RNAs in rat brain. [pubmed:3754035]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs2228988	"Direct amplification of a single dissected chromosomal segment by polymerase chain reaction: a human brain sodium channel gene is on chromosome 2q22-q23. [pubmed:1846440]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs2228988	"Primary structure, chromosomal localization, and functional expression of a voltage-gated sodium channel from human brain. [pubmed:1325650]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs2228988	"Type II brain sodium channel expression in non-neuronal cells: embryonic rat osteoblasts. [pubmed:8750864]"@en	

http://openlifedata.org/uniprot:Q99250	http://lsrn.org/dbSNP:rs2228988	"Differential expression of two sodium channel subtypes in human brain. [pubmed:1317301]"@en	

http://openlifedata.org/uniprot:Q8N4C6	http://lsrn.org/dbSNP:rs2073347	"Prediction of the coding sequences of unidentified human genes. XVIII. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:10997877]"@en	

http://openlifedata.org/uniprot:Q8N4C6	http://lsrn.org/dbSNP:rs12882191	"Prediction of the coding sequences of unidentified human genes. XVIII. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:10997877]"@en	

http://openlifedata.org/uniprot:Q8N4C6	http://lsrn.org/dbSNP:rs12717411	"Prediction of the coding sequences of unidentified human genes. XVIII. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:10997877]"@en	

http://openlifedata.org/uniprot:Q8N4C6	http://lsrn.org/dbSNP:rs2236316	"Prediction of the coding sequences of unidentified human genes. XVIII. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro. [pubmed:10997877]"@en	

http://openlifedata.org/uniprot:Q92608	http://lsrn.org/dbSNP:rs2270898	"Prediction of the coding sequences of unidentified human genes. VI. The coding sequences of 80 new genes (KIAA0201-KIAA0280) deduced by analysis of cDNA clones from cell line KG-1 and brain. [pubmed:9039502]"@en	

